1: D: started
2: D: next cart
3: V 1: started
4: V 1: boarding started
5: V 3: started
6: V 4: started
7: N 2: started
8: V 6: started
9: V 2: started
10: V 7: started
11: N 9: started
12: V 9: started
13: N 1: started
14: N 14: started
15: N 3: started
16: N 4: started
17: N 19: started
18: N 21: started
19: N 6: started
20: N 7: started
21: N 8: started
22: V 8: started
23: N 30: started
24: N 31: started
25: N 9: queue
26: N 34: started
27: N 13: started
28: N 38: started
29: N 15: started
30: N 1: queue
31: N 16: started
32: N 14: queue
33: N 17: started
34: N 47: started
35: N 3: queue
36: N 2: queue
37: N 20: started
38: N 53: started
39: N 5: started
40: N 19: queue
41: N 22: started
42: N 23: started
43: N 21: queue
44: N 24: started
45: N 25: started
46: N 6: queue
47: N 26: started
48: N 27: started
49: N 7: queue
50: N 28: started
51: N 73: started
52: N 8: queue
53: N 10: started
54: N 77: started
55: N 30: queue
56: N 32: started
57: N 33: started
58: N 31: queue
59: N 84: started
60: N 12: started
61: N 88: started
62: N 36: started
63: N 91: started
64: N 34: queue
65: V 5: started
66: N 95: started
67: N 13: queue
68: N 40: started
69: N 38: queue
70: N 41: started
71: N 42: started
72: N 15: queue
73: N 105: started
74: N 44: started
75: N 16: queue
76: N 45: started
77: N 46: started
78: N 113: started
79: N 48: started
80: N 17: queue
81: N 49: started
82: N 47: queue
83: N 50: started
84: N 51: started
85: N 52: started
86: N 4: queue
87: N 127: started
88: N 20: queue
89: N 55: started
90: N 131: started
91: N 56: started
92: N 57: started
93: N 5: queue
94: N 137: started
95: N 59: started
96: N 140: started
97: N 22: queue
98: N 144: started
99: N 62: started
100: N 23: queue
101: N 148: started
102: N 64: started
103: N 65: started
104: N 24: queue
105: N 66: started
106: N 67: started
107: N 25: queue
108: N 68: started
109: N 161: started
110: N 162: started
111: N 163: started
112: N 71: started
113: N 165: started
114: N 72: started
115: N 29: started
116: N 74: started
117: N 28: queue
118: N 75: started
119: N 73: queue
120: N 76: started
121: N 11: started
122: N 175: started
123: N 78: started
124: N 177: started
125: N 77: queue
126: N 80: started
127: N 81: started
128: N 183: started
129: N 82: started
130: N 185: started
131: N 33: queue
132: N 9: boarding
133: N 85: started
134: N 190: started
135: N 191: started
136: N 84: queue
137: N 35: started
138: N 12: queue
139: N 89: started
140: N 90: started
141: N 88: queue
142: N 37: started
143: N 36: queue
144: N 92: started
145: N 203: started
146: N 93: started
147: N 94: started
148: N 39: started
149: N 208: started
150: N 97: started
151: N 95: queue
152: N 98: started
153: N 99: started
154: N 214: started
155: N 40: queue
156: N 101: started
157: N 102: started
158: N 219: started
159: N 103: started
160: N 104: started
161: N 42: queue
162: N 224: started
163: N 106: started
164: N 105: queue
165: N 107: started
166: N 108: started
167: N 230: started
168: N 109: started
169: N 110: started
170: N 111: started
171: N 112: started
172: N 236: started
173: N 18: started
174: N 46: queue
175: N 114: started
176: N 115: started
177: N 242: started
178: N 116: started
179: N 117: started
180: N 48: queue
181: N 118: started
182: N 119: started
183: N 120: started
184: N 250: started
185: N 251: started
186: N 122: started
187: N 123: started
188: N 50: queue
189: N 124: started
190: N 257: started
191: N 51: queue
192: N 126: started
193: N 52: queue
194: N 54: started
195: N 128: started
196: N 264: started
197: N 129: started
198: N 130: started
199: N 267: started
200: N 268: started
201: N 269: started
202: N 133: started
203: N 131: queue
204: N 134: started
205: N 56: queue
206: N 135: started
207: N 276: started
208: N 277: started
209: N 58: started
210: N 138: started
211: N 139: started
212: N 137: queue
213: N 60: started
214: N 59: queue
215: N 141: started
216: N 287: started
217: N 143: started
218: N 140: queue
219: N 61: started
220: N 292: started
221: N 144: queue
222: N 294: started
223: N 147: started
224: N 62: queue
225: N 63: started
226: N 149: started
227: N 150: started
228: N 148: queue
229: N 151: started
230: N 64: queue
